Test Case  Sleep Time      Number of Producers  Number of Consumers  Average Turnaround Time(ms)
1          4               1                    1                    0.05                
2          4               4                    1                    28.41               
3          4               16                   1                    50.54               
4          4               1                    2                    36.16               
5          4               4                    2                    28.73               
6          4               16                   2                    31.65               
7          4               1                    4                    27.90               
8          4               4                    4                    19.05               
9          4               16                   4                    19.12               
10         4               1                    16                   18.01               
11         4               4                    16                   14.65               
12         4               16                   16                   8.50                
