Test Case  Sleep Time      Number of Producers  Number of Consumers  Average Turnaround Time(ms)
1          6               1                    1                    0.14                
2          6               4                    1                    46.31               
3          6               16                   1                    79.47               
4          6               1                    2                    56.17               
5          6               4                    2                    43.90               
6          6               16                   2                    49.20               
7          6               1                    4                    43.14               
8          6               4                    4                    29.42               
9          6               16                   4                    29.29               
10         6               1                    16                   27.67               
11         6               4                    16                   22.40               
12         6               16                   16                   13.01               
